Reference	EMN001	TAF017	VLC001
k141_211028	10	24	8242
k141_26353	1	1	4011
k141_90425	4277	0	0
k141_186217	145	6	2377
k141_79581	6	6	950
k141_44421	8	18	5658
k141_122206	26	8	4286
k141_161369	5	10	2328
k141_125807	136	16	3404
k141_101031	290	102	2970
k141_196956	926	451	6364
k141_83199	0	0	934
k141_114750	0	13	3372
k141_47575	18	84	13814
k141_158393	0	0	5421
k141_214523	1863	8	4625
k141_8681	5541	44	5557
k141_143894	449	177	3359
k141_26384	0	0	1851
k141_204312	0	0	2359
k141_2139	0	20	5874
k141_97624	0	0	5356
k141_65786	9	114	2825
k141_224994	2134	0	0
k141_47583	179	278	2057
k141_51426	111	23	620
k141_41246	3	86	4040
k141_33756	9017	54369	2
k141_182719	2279	13293	0
k141_22992	29	23	5821
k141_161393	3031	12	2663
k141_54989	12	34	8511
k141_125816	1279	596	9970
k141_154250	3	29	4953
k141_122235	1	1	8088
k141_2151	0	0	7875
k141_190009	2	29	4607
k141_158447	6	0	1780
k141_23001	28	0	1431
k141_33777	0	1	847
k141_19877	56	17	1996
k141_54994	24	35	4966
k141_179052	0	0	5923
k141_140072	8	88	3416
k141_214564	69	18	2999
k141_111990	2	0	3500
k141_30028	126	180	1482
k141_225023	76	549	4178
k141_101108	48	9	3744
k141_118945	1	2	1757
k141_150696	180	94	6673
k141_221634	1	4	2735
k141_41293	0	0	2700
k141_190027	169	336	1767
k141_83252	598	768	6783
k141_12506	701	940	7060
k141_182764	117	83	11476
k141_176035	3081	0	1
k141_114845	6	3	2353
k141_5284	0	0	926
k141_164900	20	1	1858
k141_193447	2925	21	3208
k141_104992	10	50	9246
k141_8799	19	0	986
k141_133289	7	13	4310
k141_143943	325	226	28489
k141_62464	3898	56	4165
k141_76664	686	247	3108
k141_140102	19	6	7411
k141_30078	2	13	644
k141_136672	1	1	1413
k141_51509	3280	0	0
k141_168470	833	303	5562
k141_33870	0	0	914
k141_186350	0	0	1326
k141_79650	26	63	16824
k141_119001	109	53	4518
k141_190044	58	75	13436
k141_176072	3930	36	3704
k141_69282	505	399	766
k141_218529	4	36	4088
k141_125917	0	1	1980
k141_83309	0	49	4448
k141_147291	3126	62	2979
k141_15792	81	36	3278
k141_161478	1	1	2699
k141_171855	19	12	8000
k141_214620	10	11	1530
k141_207474	30	124	14243
k141_182809	4185	25857	2
k141_19998	0	0	4334
k141_33898	0	11	3811
k141_30110	86	90	2823
k141_147292	13	52	4206
k141_168491	760	472	1048
k141_158569	3779	0	0
k141_114888	73	245	1455
k141_225108	0	0	1574
k141_221739	474	340	11459
k141_164961	8	14	2525
k141_76771	0	0	1416
k141_133369	19	5	1410
k141_90672	78	134	6066
k141_161501	5592	69	5061
k141_125939	5261	32017	0
k141_112171	7	44	1544
k141_150718	6	21	25201
k141_190125	31	6	670
k141_83323	11	70	11683
k141_105108	0	0	4294
k141_225118	7	33	3518
k141_119065	4070	23810	0
k141_5354	0	3	1311
k141_197212	69	365	4155
k141_164968	165	190	1850
k141_69351	19	42	6547
k141_182873	0	12	4611
k141_90676	16	14	5953
k141_66045	46	16	2386
k141_158643	67	123	2250
k141_204533	761	338	4235
k141_58253	316	172	18573
k141_23165	3	1	1844
k141_69359	10	37	1873
k141_12665	73	18	3462
k141_207553	7	10	577
k141_47822	0	3	1199
k141_86828	3	49	1820
k141_15879	44	163	5219
k141_90704	26	2	2997
k141_20083	305	190	8515
k141_69361	328	128	2871
k141_136779	1	3	1742
k141_66067	6	49	1600
k141_79716	0	40	8709
k141_179169	582	804	7083
k141_2346	3	41	6327
k141_5380	23	27	6938
k141_58262	0	0	916
k141_41553	0	0	982
k141_12693	1950	19	2127
k141_144038	11208	66649	2
k141_171952	108	73	4415
k141_105177	0	119	6453
k141_26703	365	242	10215
k141_136796	3271	0	0
k141_214682	607	834	6719
k141_37334	3	1	1502
k141_8975	293	396	3242
k141_55224	171	63	6710
k141_211380	81	32	813
k141_79738	21	14	2239
k141_200862	0	3	1281
k141_204610	1	0	4341
k141_5405	2130	8	2098
k141_101350	70	159	6745
k141_214685	139	155	2290
k141_122504	2	0	5322
k141_158711	4062	0	0
k141_105202	0	3	1299
k141_72982	0	2	830
k141_62684	0	0	5125
k141_5409	2	1	2008
k141_129660	5410	24	5206
k141_55244	2	23	579
k141_112286	4904	0	4
k141_41605	98	120	6126
k141_140323	546	167	5418
k141_176340	0	47	2825
k141_105223	3246	20302	1
k141_20205	6	0	2142
k141_55259	22	5	5426
k141_183031	0	3	1051
k141_76975	2	1	2377
k141_9021	0	0	678
k141_119248	70	39	2601
k141_47925	236	45	800
k141_221867	0	0	828
k141_158771	7	60	1983
k141_129680	863	619	1399
k141_119252	0	0	872
k141_62720	11	4	2605
k141_207635	1	1	4295
k141_90781	2653	940	15874
k141_161670	4697	28668	0
k141_211451	0	26	3961
k141_179242	158	96	13982
k141_112327	0	0	10208
k141_168706	0	1	3960
k141_101434	111	32	3240
k141_41694	1	3	952
k141_176402	4306	14	4400
k141_204709	5	58	9628
k141_126143	3722	22667	0
k141_225274	22	9	4076
k141_108251	785	563	21642
k141_44956	6	38	7078
k141_183107	0	0	970
k141_16018	428	151	7870
k141_133611	3115	4	3160
k141_12813	1	14	11221
k141_98032	4562	26223	2
k141_129703	4827	23	3935
k141_51830	107	4	1625
k141_79842	85	57	4017
k141_211471	10	0	4256
k141_144178	1027	515	5622
k141_90799	4	2	11205
k141_225290	680	450	919
k141_150909	6109	25	6157
k141_98039	0	6	985
k141_197473	0	0	2496
k141_69575	120	243	3588
k141_112387	0	1	1972
k141_9110	26	23	5067
k141_183144	209	226	2250
k141_44988	2	58	4803
k141_83553	1146	408	6552
k141_2560	2637	21444	0
k141_20366	2379	20	2128
k141_126204	58	52	2875
k141_129736	0	3	864
k141_214804	6	93	2211
k141_66313	321	639	3958
k141_168732	0	12	10633
k141_77062	17	4	4352
k141_101505	1233	13166	0
k141_51898	25	2	1878
k141_90836	13	1	6118
k141_34228	3	0	3213
k141_136976	602	229	3516
k141_98043	1610	713	10766
k141_165208	174	321	2896
k141_190433	9	119	10102
k141_20398	52	32	3366
k141_41753	195	72	8301
k141_154612	28	56	12359
k141_105398	10	17	10328
k141_218987	0	0	2492
k141_48056	0	0	975
k141_108353	507	248	4460
k141_9175	541	211	4624
k141_129788	29	5	1833
k141_20430	9	15	2890
k141_186752	17	9	3023
k141_51928	0	27	3645
k141_23445	1394	496	5489
k141_16099	894	375	7121
k141_2642	43	11	2444
k141_168761	7330	57	6945
k141_79944	0	0	2127
k141_172180	94	101	3486
k141_161756	1773	674	15995
k141_126281	154	274	1541
k141_105438	23	5	4372
k141_150955	7914	47	7227
k141_112465	22	61	11710
k141_161766	3	49	1305
k141_55532	0	79	4584
k141_193875	1	0	3116
k141_51956	3	0	2886
k141_12966	19	5	1910
k141_159068	66	1	716
k141_20459	4523	24	4591
k141_30473	3134	1339	18499
k141_183304	5	3	3219
k141_161769	0	3	1470
k141_133789	1	10	6938
